Disease Name,Drug Name
Scurvy,ascorbic acid
Seasonal Affective Disorder,bupropion
Seasonal Allergic Conjunctivitis,"ketorolac, loteprednol, olopatadine"
Seborrheic Dermatitis,"ciclopirox, clobetasol, coal tar, dexamethasone, fluocinolone, hydrocortisone, ketoconazole, prednisone, pyrithione zinc, selenium sulfide, sulfacetamide sodium, sulfacetamide sodium ,  sulfur"
Seborrheic Keratosis,hydrogen peroxide
Secondary Cutaneous Bacterial Infections,"mupirocin, sulfacetamide sodium"
Secondary Hyperparathyroidism,"calcitriol, cinacalcet, doxercalciferol, paricalcitol"
Sedation,"dexmedetomidine, fentanyl, hydroxyzine, lorazepam, phenobarbital, promethazine, secobarbital, trazodone"
Seizure Prevention (Seizure Prophylaxis),"acetazolamide, clonazepam, clorazepate, diazepam, lamotrigine, magnesium sulfate, topiramate, valproic acid"
Seizure Prophylaxis During or Following Neurosurgery,phenytoin
Seizures (Convulsions),"diazepam, levetiracetam, oxcarbazepine, phenobarbital, phenytoin, primidone, topiramate, valproic acid, zonisamide"
Sepsis,"cefotaxime, ceftazidime, ceftriaxone, cefuroxime, filgrastim, tobramycin, vancomycin"
Septicemia,"ampicillin, cefazolin, cefotaxime, cefoxitin, ceftazidime, ceftriaxone, cilastatin ,  imipenem, oxacillin, penicillin g potassium, penicillin g sodium, piperacillin"
Serosal Cavity Neoplastic Disease,thiotepa
Serum Sickness,corticotropin
Severe Mood Dysregulation,"citalopram, methylphenidate, risperidone"
"Sexual Dysfunction, SSRI Induced","amantadine, bupropion, buspirone, cyproheptadine, dextroamphetamine, sildenafil"
Shift Work Sleep Disorder,"armodafinil, modafinil"
Shigellosis,"ampicillin, ceftriaxone, ciprofloxacin, ofloxacin, sulfamethoxazole ,  trimethoprim"
Shock,"albumin human, dexamethasone, dobutamine, dopamine, epinephrine, hydrocortisone, methylprednisolone, norepinephrine, phenylephrine"
Short Bowel Syndrome,"glutamine, somatropin, teduglutide"
Short Stature for Age,somatropin
Shunt Infection,"tobramycin, vancomycin"
Sialorrhea,"incobotulinumtoxinA, rimabotulinumtoxinB"
Sinus Symptoms,"acetaminophen ,  chlorpheniramine ,  phenylephrine, acetaminophen ,  dextromethorphan ,  phenylephrine, acetaminophen ,  phenylephrine, acetaminophen ,  pseudoephedrine, dexbrompheniramine ,  pseudoephedrine, guaifenesin ,  phenylephrine, ibuprofen ,  pseudoephedrine, mometasone, naproxen ,  pseudoephedrine"
Sinusitis,"amoxicillin, amoxicillin ,  clavulanate, azithromycin, cefdinir, cefuroxime, ciprofloxacin, clarithromycin, clindamycin, levofloxacin, moxifloxacin, prednisone, sulfamethoxazole ,  trimethoprim"
Sitosterolemia,ezetimibe
Sjogren's Syndrome,"cevimeline, hydroxychloroquine, infliximab"
Skin Cancer,fluorouracil
"Skin Disinfection, Preoperative",chlorhexidine
Skin Pigmentation Disorder,tazarotene
Skin Rash,"diflorasone, hydrocortisone, prednisone, tetracaine"
Skin and Structure Infection,"amoxicillin ,  clavulanate, azithromycin, cefadroxil, cefdinir, ceftriaxone, cefuroxime, ciprofloxacin, clarithromycin, gentamicin, linezolid, meropenem, minocycline, mupirocin"
Skin or Soft Tissue Infection,"amoxicillin, amoxicillin ,  clavulanate, azithromycin, cefdinir, cephalexin, ciprofloxacin, clarithromycin, clindamycin, dicloxacillin, doxycycline, erythromycin, levofloxacin, metronidazole, minocycline"
Sleep Paralysis,"clomipramine, clonazepam, methylphenidate"
Small Bowel Bacterial Overgrowth,"amoxicillin ,  clavulanate"
Small Bowel or Pancreatic Fistula,octreotide
Small Cell Lung Cancer,"atezolizumab, cyclophosphamide, etoposide, methotrexate, nivolumab, pembrolizumab, topotecan"
Small Fiber Neuropathy,"duloxetine, gabapentin, pregabalin"
Small Intestine Intubation,metoclopramide
Smallpox,tecovirimat
Smallpox Prophylaxis,"smallpox and monkeypox vaccine, smallpox vaccine"
Smallpox Vaccine Reaction,cidofovir
Smoking Cessation,"bupropion, clonidine, naltrexone, nicotine, nortriptyline, topiramate, varenicline"
Social Anxiety Disorder,"atomoxetine, fluvoxamine, paroxetine, risperidone, sertraline, venlafaxine"
Soft Tissue Sarcoma,"doxorubicin, methotrexate, olaratumab, pazopanib, trabectedin"
Solid Tumors,"bevacizumab, docetaxel, entrectinib, hydroxyurea, idarubicin, larotrectinib, methotrexate, pembrolizumab"
Somatoform Pain Disorder,"amitriptyline, citalopram, desvenlafaxine, duloxetine, escitalopram, fluoxetine, fluvoxamine, imipramine, milnacipran, paroxetine, sertraline, venlafaxine"
Sore Throat,"benzocaine, benzocaine ,  butamben ,  tetracaine, benzocaine ,  menthol, dyclonine, menthol, phenol"
Spasticity,baclofen
Spina bifida,oxybutynin
Spinal Muscular Atrophy,"nusinersen, onasemnogene abeparvovec"
Spinal Spasticity,baclofen
Spleen Removal (Splenectomy),amoxicillin
Spondyloarthritis,"adalimumab, aspirin, celecoxib, diclofenac, etanercept, golimumab"
Spondylolisthesis,"gabapentin, ibuprofen, naproxen, pregabalin"
Sporotrichosis,"amphotericin b, fluconazole, itraconazole"
Squamous Cell Carcinoma,"bleomycin, cemiplimab, cetuximab"
Status Epilepticus,"diazepam, fosphenytoin, lorazepam, midazolam, pentobarbital, phenytoin"
Stem Cell Transplant Conditioning,fludarabine
Steroid Responsive Inflammatory Conditions,fluorometholone
Stevens-Johnson Syndrome,corticotropin
Still's Disease,"anakinra, etanercept, tocilizumab"
Stomach Cancer,"capecitabine, doxorubicin, fluorouracil, mitomycin, ramucirumab"
Stomach Ulcer (Gastric Ulcer),"famotidine, lansoprazole, misoprostol, omeprazole, omeprazole ,  sodium bicarbonate, pantoprazole, rabeprazole, ranitidine, sucralfate"
Stomatitis,"sucralfate, triamcinolone"
Strabismus,onabotulinumtoxinA
Strep Throat (Streptococcal Pharyngitis),"amoxicillin ,  clavulanate, cefdinir, cefuroxime, clarithromycin, erythromycin, gemifloxacin"
Streptococcal Infection,"levofloxacin, penicillin g benzathine, penicillin g benzathine ,  procaine penicillin, penicillin g potassium, penicillin g sodium, penicillin v potassium, procaine penicillin"
Stress Ulcer Prophylaxis,"aluminum hydroxide ,  magnesium hydroxide, cimetidine, pantoprazole, ranitidine, sucralfate"
Strongyloidiasis,"albendazole, ivermectin"
Subarachnoid Hemorrhage,nimodipine
Subcorneal Pustular Dermatosis,infliximab
Subcutaneous Urography,hyaluronidase
Subependymal Giant Cell Astrocytoma,everolimus
Submental Fullness,deoxycholic acid
Sucrase-Isomaltase Deficiency,sacrosidase
Sunburn,"benzocaine, lidocaine, vitamin a & d"
Superficial Siderosis,deferiprone
Supraventricular Tachycardia,"adenosine, amiodarone, atenolol, bisoprolol, diltiazem, esmolol, flecainide, metoprolol, nadolol, phenylephrine, verapamil"
Surgical Prophylaxis,"ampicillin, cefazolin, cefotaxime, ceftriaxone, cefuroxime, ciprofloxacin, clindamycin, gentamicin, metronidazole, ranitidine, vancomycin"
Sweet's Syndrome,colchicine
Swine Flu,"oseltamivir, peramivir, zanamivir"
Synovitis,"dexamethasone, prednisone, triamcinolone"
"Syphilis, Early","ceftriaxone, doxycycline, erythromycin, penicillin g benzathine, tetracycline"
"Syphilis, Latent","doxycycline, penicillin g benzathine, procaine penicillin, tetracycline"
Syphilitic Aortic Aneurysm,penicillin g benzathine
Syringomyelia,"gabapentin, pregabalin, tramadol"
Systemic Candidiasis,fluconazole
Systemic Fungal Infection,"flucytosine, itraconazole, voriconazole"
Systemic Lupus Erythematosus,"aspirin, azathioprine, belimumab, dexamethasone, hydroxychloroquine, mycophenolate mofetil, prednisone, triamcinolone"
Systemic Mastocytosis,"cromolyn, imatinib, lansoprazole, midostaurin, omeprazole"
Systemic Sclerosis,"cyclophosphamide, methotrexate, prednisone, tocilizumab"
Systemic Sclerosis-Associated Interstitial Lung Disease,nintedanib
TSH Suppression,"levothyroxine, liothyronine, thyroid desiccated"
Takayasu's Arteritis,azathioprine
Tapering Regimen,metoprolol
Tardive Dyskinesia,"apomorphine, bromocriptine, chlordiazepoxide, clonidine, deutetrabenazine, pramipexole, propranolol, ropinirole, tetrabenazine, valbenazine, vitamin e"
Temporal Arteritis,triamcinolone
Temporomandibular Joint Disorder,"baclofen, clonazepam, cyclobenzaprine, diazepam, ibuprofen, piroxicam"
Tendonitis,"indomethacin, meloxicam, naproxen, sulindac, trolamine salicylate"
Tenosynovial Giant Cell Tumor,pexidartinib
Tertiary Syphilis,"doxycycline, penicillin g benzathine, procaine penicillin, tetracycline"
Testicular Cancer,"bleomycin, cisplatin, cyclophosphamide, dactinomycin, etoposide, ifosfamide, vinblastine"
Tetanus,"chlorpromazine, diazepam, methocarbamol, penicillin g potassium, penicillin g sodium, tetanus immune globulin"
Tetanus Prophylaxis,"diphtheria and tetanus toxoids ,  pertussis, acellular, diphtheria and tetanus toxoids ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  haemophilus b conjugate ,  hepatitis b vaccine, diphtheria toxoid ,  haemophilus b conjugate (prp-t) vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  hepatitis b pediatric vaccine ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  pertussis, acellular ,  poliovirus vaccine, inactivated ,  tetanus toxoid, diphtheria toxoid ,  pertussis, acellular ,  tetanus toxoid, diphtheria toxoid ,  tetanus toxoid, tetanus immune globulin"
Thalassemia,"deferasirox, deferiprone, hydroxyurea"
Thrombocythemia,"anagrelide, busulfan, hydroxyurea, peginterferon alfa-2b"
Thrombocytopenia,"avatrombopag, dexamethasone, eltrombopag, imiglucerase, lusutrombopag, prednisone"
Thrombocytopenia Idiopathic,"eltrombopag, triamcinolone"
Thromboembolic Disorder,vorapaxar
Thromboembolic Stroke Prophylaxis,"apixaban, aspirin, warfarin"
Thrombotic Thrombocytopenic Purpura,caplacizumab
Thrombotic/Thromboembolic Disorder,"alteplase, argatroban, heparin, urokinase"
Thyroid Cancer,"cabozantinib, dabrafenib, doxorubicin, lenvatinib, sodium iodide-i-131, sorafenib, thyroid desiccated, thyrotropin alpha, trametinib, vandetanib"
Thyroid Eye Disease,teprotumumab
Thyroid Storm,propylthiouracil
Thyroid Suppression Test,"levothyroxine, liothyronine"
Thyrotoxicosis,propranolol
Tic Disorder,risperidone
Tinea Barbae,griseofulvin
Tinea Capitis,"griseofulvin, itraconazole, terbinafine"
Tinea Corporis,"betamethasone ,  clotrimazole, ciclopirox, clotrimazole, econazole, fluconazole, griseofulvin, ketoconazole, miconazole, terbinafine, tolnaftate"
Tinea Cruris,"betamethasone ,  clotrimazole, ciclopirox, clioquinol, clotrimazole, econazole, fluconazole, griseofulvin, ketoconazole, miconazole, terbinafine, tolnaftate"
Tinea Pedis,"betamethasone ,  clotrimazole, ciclopirox, clotrimazole, econazole, griseofulvin, ketoconazole, miconazole, terbinafine, tolnaftate"
Tinea Versicolor,"ciclopirox, clotrimazole, econazole, fluconazole, itraconazole, ketoconazole, miconazole, selenium sulfide, terbinafine, tolnaftate"
Tinnitus,"alprazolam, nortriptyline"
Tonsillitis/Pharyngitis,"amoxicillin, azithromycin, benzocaine ,  menthol, cefaclor, cefadroxil, cefdinir, cefixime, cefpodoxime, cefuroxime, clarithromycin, penicillin v potassium, phenol"
Toothache,ibuprofen
Topical Disinfection,"benzalkonium chloride, iodine, isopropyl alcohol, povidone iodine, silver nitrate, sodium hypochlorite"
Total Parenteral Nutrition,"chromic chloride hexahydrate, fat emulsion, parenteral nutrition solution, parenteral nutrition solution w ,  electrolytes, trace elements"
Tourette's Syndrome,"aripiprazole, clonidine, guanfacine, haloperidol, olanzapine, pimozide, quetiapine, topiramate, ziprasidone"
Toxic Epidermal Necrolysis,"dexamethasone, infliximab, prednisone"
Toxoplasmosis,"atovaquone, azithromycin, clarithromycin, clindamycin, leucovorin, pyrimethamine, sulfadiazine, sulfamethoxazole ,  trimethoprim"
"Toxoplasmosis, Prophylaxis","clindamycin, dapsone, leucovorin, pyrimethamine, sulfadiazine, sulfamethoxazole ,  trimethoprim"
Trachoma,"doxycycline, minocycline, sulfacetamide sodium"
Transcobalamin II Deficiency,hydroxocobalamin
Transient Ischemic Attack,"aspirin, clopidogrel"
Transurethral Prostatectomy,fosfomycin
Transverse Myelitis,"acetaminophen, dexamethasone, gabapentin, ibuprofen, methylprednisolone, naproxen, sertraline"
Traveler's Diarrhea,"bismuth subsalicylate, ciprofloxacin, loperamide, ofloxacin, rifaximin, sulfamethoxazole ,  trimethoprim"
Trichinosis,"albendazole, mebendazole"
Trichomoniasis,"metronidazole, tinidazole"
Trichostrongylosis,"albendazole, mebendazole, pyrantel"
Trichotillomania,"citalopram, clomipramine, escitalopram, fluoxetine, fluvoxamine, naltrexone, paroxetine, sertraline"
Trigeminal Neuralgia,"baclofen, carbamazepine, gabapentin, oxcarbazepine, phenytoin, topiramate"
Trophoblastic Disease,"dactinomycin, dinoprostone, methotrexate"
Trypanosomiasis,"benznidazole, pentamidine"
"Tuberculosis, Active","amikacin, ciprofloxacin, ethambutol, isoniazid, isoniazid ,  pyrazinamide ,  rifampin, isoniazid ,  rifampin, levofloxacin, moxifloxacin, pyrazinamide, rifampin, streptomycin"
"Tuberculosis, Extrapulmonary","cycloserine, prednisone"
"Tuberculosis, HIV Positive",rifabutin
"Tuberculosis, Latent","isoniazid, pyrazinamide, rifampin, rifapentine"
"Tuberculosis, Prophylaxis","bcg, bcg vaccine, isoniazid, rifabutin, rifampin"
"Tuberculosis, Resistant","aminosalicylic acid, bedaquiline, pretomanid"
Tuberculous Meningitis,"dexamethasone, prednisone"
Tuberous Sclerosis,everolimus
Tumor Necrosis Factor Receptor Associated Periodic Syndrome,canakinumab
Turner Syndrome,"oxandrolone, somatropin"
Tympanostomy Tube Placement Surgery,ciprofloxacin
Typhoid Fever,"ampicillin, azithromycin, ceftriaxone, ciprofloxacin"
Typhoid Prophylaxis,"typhoid vaccine, inactivated, typhoid vaccine, live"
Ulcerative Colitis,"azathioprine, balsalazide, budesonide, clonidine, hydrocortisone, infliximab, mesalamine, sulfasalazine"
"Ulcerative Colitis, Active","balsalazide, budesonide, cyclosporine, hydrocortisone, mesalamine, methylprednisolone, olsalazine, prednisolone, prednisone, sulfasalazine"
"Ulcerative Colitis, Maintenance","infliximab, mercaptopurine, mesalamine, olsalazine, sulfasalazine"
Ulcerative Proctitis,"hydrocortisone, mesalamine"
Underactive Thyroid (Hypothyroidism),"levothyroxine, liothyronine, liotrix, thyroid desiccated"
Undifferentiated Connective Tissue Disease,hydroxychloroquine
Upper GI Hemorrhage,"cimetidine, famotidine"
Upper Limb Spasticity,"abobotulinumtoxinA, incobotulinumtoxinA, onabotulinumtoxinA"
Upper Respiratory Tract Infection,"amoxicillin, amoxicillin ,  clavulanate, ampicillin, azithromycin, cefixime, cefuroxime, cephalexin, clarithromycin, doxycycline, erythromycin, sulfamethoxazole ,  trimethoprim"
Urea Cycle Disorders,"glycerol phenylbutyrate, sodium phenylbutyrate"
Urinary Acidification,"ascorbic acid, potassium acid phosphate, potassium phosphate ,  sodium phosphate"
Urinary Alkalinization,"citric acid ,  potassium citrate, citric acid ,  potassium citrate ,  sodium citrate, citric acid ,  sodium citrate, sodium bicarbonate"
Urinary Frequency,"darifenacin, fesoterodine, flavoxate, mirabegron, onabotulinumtoxinA, oxybutynin, solifenacin, tolterodine, trospium"
Urinary Incontinence,"amitriptyline, darifenacin, duloxetine, fesoterodine, hyoscyamine, mirabegron, oxybutynin, solifenacin, tolterodine, trospium"
Urinary Retention,"bethanechol, neostigmine"
Urinary Tract Infection,"amoxicillin, amoxicillin ,  clavulanate, ampicillin, ceftriaxone, cefuroxime, ciprofloxacin, doxycycline, levofloxacin, methenamine, nitrofurantoin, sulfamethoxazole ,  trimethoprim, trimethoprim"
Urinary Tract Stones,"allopurinol, citric acid ,  potassium citrate, citric acid ,  sodium citrate, magnesium oxide, tamsulosin"
Urinary Tract Tumors,"bcg, valrubicin"
Urography,"iodixanol, iohexol, iopromide"
Urothelial Carcinoma,"atezolizumab, avelumab, durvalumab, enfortumab vedotin, erdafitinib, nivolumab, pembrolizumab"
Urticaria,"cetirizine, chlorpheniramine, diphenhydramine, doxepin, famotidine, fexofenadine, levocetirizine, loratadine, omalizumab, promethazine, ranitidine"
Uterine Bleeding,progesterone
Uterine Fibroids,"leuprolide, ulipristal"
Uterine Leiomyomata,leuprolide
Uveitis,"atropine, azathioprine, cyclopentolate, dexamethasone, dexamethasone ,  neomycin ,  polymyxin b, dexamethasone ,  tobramycin, difluprednate, homatropine, methotrexate, mycophenolate mofetil, prednisolone ,  sulfacetamide sodium, sulfasalazine, triamcinolone"
"Uveitis, Posterior","dexamethasone, prednisone"
Vaccination and Prophylaxis,"measles virus vaccine ,  mumps virus vaccine ,  rubella virus vaccine ,  varicella virus vaccine"
Vaginal Dryness,"emollients, ospemifene"
Vaginal Yeast Infection,"boric acid, clotrimazole, fluconazole, itraconazole, ketoconazole, miconazole, nystatin, terconazole, tioconazole"
Vaginal pH Imbalance,hydroxyquinoline
Varicella-Zoster,"acyclovir, foscarnet, immune globulin intramuscular, valacyclovir, varicella zoster immune globulin"
"Varicella-Zoster, Prophylaxis","measles virus vaccine ,  mumps virus vaccine ,  rubella virus vaccine ,  varicella virus vaccine, varicella virus vaccine"
Varicose Veins,"polidocanol, sodium tetradecyl sulfate"
Vascular Magnetic Resonance Imaging,"gadobutrol, gadodiamide, gadopentetate dimeglumine"
Vasoactive Intestinal Peptide Tumor,octreotide
Vasomotor Rhinitis,carbinoxamine
Vasospasm,papaverine
Venography,"iodixanol, iopromide, ioversol"
Venomous Scorpion Bite,antivenom (centruroides scorpion)
Venomous Snake Bite,"antivenin (crotalidae) polyvalent, antivenin (micrurus fulvius)"
Venomous Spider Bite,antivenin (black widow spider)
Venous Thromboembolism,"apixaban, betrixaban, dalteparin, dextran, low molecular weight"
Ventricular Arrhythmia,"acebutolol, magnesium sulfate, sotalol"
Ventricular Fibrillation,"amiodarone, lidocaine, vasopressin"
Ventricular Tachycardia,"acebutolol, amiodarone, atenolol, flecainide, lidocaine, mexiletine, propafenone, propranolol, vasopressin"
Vertigo,"meclizine, promethazine"
Visceral Arteriography,"iohexol, ioversol"
"Visceral Larva Migrans, Toxicariasis","albendazole, mebendazole"
Vitamin A Deficiency,"beta-carotene, vitamin a"
Vitamin B1 Deficiency,thiamine
Vitamin B12 Deficiency,"cyanocobalamin, hydroxocobalamin"
Vitamin D Deficiency,"cholecalciferol, ergocalciferol"
Vitamin D Insufficiency,cholecalciferol
Vitamin E Deficiency,vitamin e
Vitamin K Deficiency,phytonadione
Vitamin/Mineral Supplementation and Deficiency,"chromium picolinate, ergocalciferol, ferrous sulfate, folic acid, multivitamin with iron, multivitamin with minerals, selenium, thiamine, zinc sulfate"
Vitamin/Mineral Supplementation during Pregnancy/Lactation,"ferrous fumarate, ferrous gluconate, ferrous sulfate, multivitamin, prenatal"
Vitrectomy,triamcinolone
Vitreomacular Adhesion,ocriplasmin
Vulvodynia,"amitriptyline, carbamazepine, citalopram, desipramine, escitalopram, fluoxetine, gabapentin, nortriptyline, paroxetine, sertraline, topiramate, tramadol, venlafaxine"
Waldenström Macroglobulinemia,ibrutinib
Warts,"cantharidin, fluorouracil, salicylic acid, silver nitrate"
Weight Loss,"bupropion ,  naltrexone, liraglutide, lorcaserin, megestrol, oxandrolone, phentermine, phentermine ,  topiramate"
Wernicke's Encephalopathy,thiamine
West Syndrome,corticotropin
Whipworm Infection,"albendazole, mebendazole"
Wilms' Tumor (Nephroblastoma),"cyclophosphamide, dactinomycin, doxorubicin, paclitaxel, vincristine"
Wilson's Disease,"penicillamine, trientine, zinc acetate"
Wolff-Parkinson-White Syndrome,"adenosine, flecainide, propafenone"
Wound Cleansing (Wound Debridement),acetic acid
Wound Infection,cefuroxime
X-Linked Hypophosphatemia,burosumab
Xerostomia,"amifostine, glycerin, pilocarpine, saliva substitutes"
Yellow Fever Prophylaxis,yellow fever vaccine
Zinc Deficiency,zinc acetate
Zollinger-Ellison Syndrome,"cimetidine, esomeprazole, famotidine, lansoprazole, omeprazole, pantoprazole, rabeprazole, ranitidine"
von Willebrand Disease,"antihemophilic factor ,  von willebrand factor, desmopressin, von willebrand factor"
